,Agriculture,Climate,Date,Fires,Landscape,Source,Water_use,Major_topic,Headline1,Headline2,Headline3,Headline4,Headline5,Nation,Region,id
6,0.021323286,0.016721543,1-Jan-96,0.024182524,0.017924318,All Newspapers,0.020728661,Fires and Storms,Dolly's No Drought-Breaker For Texas,"Rain Helps Dry Lawns, Gives Farmers Little Relief",Showers Do Little To Slake April's Thirst,Fall Arrives Today After Stormy End To Dusty Summer,Year's First Rain Arrives,Fires and Storms,Fires and Storms,
7,0.011531119,0.030164739,1-Jan-97,0.021768268,0.020574442,All Newspapers,0.019495382,Climate Change,World Views On Global Warming Are Worlds Apart,Differing Agendas On Display At Global Warming Conference,Global Warming: There's No Fix In Sight,Global Warming Moves To Front Burner In Japan,Clinton Offers U.S. Proposals To Cut Global Warming,Climate Change,Climate Change,
8,0.017038348,0.026075867,1-Jan-98,0.03120965,0.01780292,All Newspapers,0.013987821,Fires and Storms,Charley Rains On Central,Drought Gets Doused,"Central Texas Soaks Up The Shower, But Gets The Same Parched Forecast","Without Rain, Florida Burns And Costs Mount",Stingy Skies Squeeze Out A Little Rain,Fires and Storms,Fires and Storms,
9,0.019895813,0.020186749,1-Jan-99,0.024837411,0.025413449,All Newspapers,0.015331289,Landscaping,A Spring Gardening Sampler; A Garden Visit,"Even At This Time Of Year In Orange County, You Can Find Colorful Additions To Your Garden",The Spice World Tour,Flowering Friends For Small Places,Garderner's Week,Landscaping,Landscaping,
10,0.011897884,0.014855556,1-Jan-00,0.027995682,0.019411778,All Newspapers,0.021256616,Fires and Storms,Raging Fires Put Spotlight On Drought,Central Texas Gets A Soaking,Batten The Hatches: Big Storm Due,Winter Makes A Dry Run Through Area,Balmy Weather Turns Southland Into A Wonderland In Winter,Fires and Storms,Fires and Storms,
11,0.009626645,0.022599847,1-Jan-01,0.022485932,0.017576042,All Newspapers,0.021914391,Climate Change,Global Warming: Will Bush Succed Where Clinton Failed,Panel Tells Bush Global Warming Is Getting Worse,Bush Defends Rejection Of Climate Treaty,UN Report Warns Of Global Climate Changes,Keeping Cool On Global Warming,Climate Change,Climate Change,
12,0.014592229,0.02124952,1-Jan-02,0.022730164,0.020655585,All Newspapers,0.022218131,Fires and Storms,Sizzling Summer Simmers Down,Storms Forecast To Start Tonight,"Damaging Wind Likely As Storms March In Advancing Cold Front May Pack Tornadoes, Hail",Middle Georgia Pummeled By Storms Damages Are Scattered,L.A. Heads For Record Dry Season,Fires and Storms,Fires and Storms,
13,0.014515292,0.018048516,1-Jan-03,0.020297832,0.022625927,All Newspapers,0.023030252,Water Use,"In A First, U.S. Officials Put Limits On California's Thirst",MWD Plans To Stretch Water Supply,What Now For Water Agency?,Agreement In West Will Send Farms' Water To Urban Areas,Interior To Sign Colorado River Water Deal Arizona A Winner In Lengthy Battle,Water Use,Water Use,
14,0.010980177,0.019616706,1-Jan-04,0.018726256,0.024991944,All Newspapers,0.02107952,Landscaping,"Greening; Winter? To Natives, It's Spring",Gardening Seminars Mean Fall Can't Be Far Off,An Early Cold Spell Jump-Started A Brilliant Display Of Harvest Hues On The Local Landscape,Wait To Divide Bee Balm,Garden: Breathing Space Atop City Hall,Landscaping,Landscaping,
15,0.014993829,0.015918913,1-Jan-05,0.03110164,0.020789826,All Newspapers,0.014323477,Fires and Storms,Southland Storms Show No Signs Of Leaving Town,Storms Show No Sign Of Stopping,Wet Winter? Weather Wizards Can't Agree,"Finally, The Skies Let Us Have It",More Fires Breaking Out As Drought Makes Conditions Dangerous,Fires and Storms,Fires and Storms,
