,All_freq,Climate_freq,Date,Event_type,Warming_freq
0,0.012559658,0.004270284,1-Jan-90,All,0.011806079
1,0.007640253,0.003056101,1-Jan-91,All,0.006985374
2,0.014092664,0.006177606,1-Jan-92,All,0.012934363
3,0.005798502,0.00169123,1-Jan-93,All,0.004832085
4,0.006168609,0.002741604,1-Jan-94,All,0.004455106
5,0.009572241,0.004486988,1-Jan-95,All,0.006580915
6,0.011448197,0.006582713,1-Jan-96,All,0.008872353
7,0.027166531,0.011953274,1-Jan-97,All,0.024993208
8,0.018315018,0.007936508,1-Jan-98,All,0.015262515
9,0.01880115,0.00530856,1-Jan-99,All,0.01747401
10,0.021856449,0.011332974,1-Jan-00,All,0.018618457
11,0.021472393,0.013190184,1-Jan-01,All,0.019325153
12,0.027635328,0.014245014,1-Jan-02,All,0.022507123
13,0.017167382,0.008869814,1-Jan-03,All,0.013733906
14,0.020929667,0.010708202,1-Jan-04,All,0.018739353
15,0.015625,0.00625,1-Jan-05,All,0.013469828
16,0.031971581,0.017910006,1-Jan-06,All,0.027827117
17,0.070672059,0.042172155,1-Jan-07,All,0.059118044
18,0.045294807,0.027528309,1-Jan-08,All,0.030847325
19,0.06612411,0.051542896,1-Jan-09,All,0.042048152
20,0.034310667,0.028696195,1-Jan-10,All,0.01996257
21,0.037436036,0.031241584,1-Jan-11,All,0.01750606
22,0.054203881,0.047736372,1-Jan-12,All,0.025562057
23,0.066395664,0.058265583,1-Jan-13,All,0.024728997
24,0.102708058,0.092470277,1-Jan-14,All,0.042932629
25,0.096428571,0.084693878,1-Jan-15,All,0.038520408
26,0.065031375,0.007415859,1-Jan-90,Drought,0.01768397
27,0.019966722,0.00374376,1-Jan-91,Drought,0.005823627
28,0.117231638,0.014830508,1-Jan-92,Drought,0.019774011
29,0.028301887,0.003773585,1-Jan-93,Drought,0.009433962
30,0.067003793,0.00505689,1-Jan-94,Drought,0.007585335
31,0.045833333,0.009722222,1-Jan-95,Drought,0.013888889
32,0.083420229,0.015641293,1-Jan-96,Drought,0.020855057
33,0.255913978,0.033333333,1-Jan-97,Drought,0.064516129
34,0.194388778,0.019038076,1-Jan-98,Drought,0.039078156
35,0.142332415,0.016528926,1-Jan-99,Drought,0.043158861
36,0.138980807,0.017868961,1-Jan-00,Drought,0.027796161
37,0.2304,0.0264,1-Jan-01,Drought,0.0368
38,0.13304721,0.021459227,1-Jan-02,Drought,0.031882281
39,0.10078125,0.015625,1-Jan-03,Drought,0.02421875
40,0.144284129,0.024417314,1-Jan-04,Drought,0.031076582
41,0.107921929,0.019517796,1-Jan-05,Drought,0.026406429
42,0.338248848,0.058064516,1-Jan-06,Drought,0.066359447
43,0.625415835,0.094477711,1-Jan-07,Drought,0.111111111
44,0.301709402,0.073504274,1-Jan-08,Drought,0.068376068
45,0.498412698,0.111111111,1-Jan-09,Drought,0.086772487
46,0.442940039,0.102514507,1-Jan-10,Drought,0.079303675
47,0.290909091,0.071590909,1-Jan-11,Drought,0.038636364
48,0.305555556,0.068576389,1-Jan-12,Drought,0.032118056
49,0.456287425,0.124550898,1-Jan-13,Drought,0.05988024
50,0.695246971,0.165890028,1-Jan-14,Drought,0.073625349
51,0.520734597,0.128554502,1-Jan-15,Drought,0.061611374
52,0.027494908,0.00305499,1-Jan-90,Flooding,0.00814664
53,0.033776868,0.004094166,1-Jan-91,Flooding,0.011258956
54,0.062835249,0.006130268,1-Jan-92,Flooding,0.018390805
55,0.006455778,0,1-Jan-93,Flooding,0.003227889
56,0.010273973,0.002283105,1-Jan-94,Flooding,0.005707763
57,0.031102733,0.004712535,1-Jan-95,Flooding,0.004712535
58,0.004882813,0.001953125,1-Jan-96,Flooding,0.001953125
59,0.077433628,0.005899705,1-Jan-97,Flooding,0.010324484
60,0.034693878,0.006802721,1-Jan-98,Flooding,0.011564626
61,0.012195122,0.000938086,1-Jan-99,Flooding,0.006566604
62,0.036117381,0.005643341,1-Jan-00,Flooding,0.013544018
63,0.034762457,0.005793743,1-Jan-01,Flooding,0.012746234
64,0.07549505,0.013613861,1-Jan-02,Flooding,0.023514851
65,0.052036199,0.009049774,1-Jan-03,Flooding,0.010180995
66,0.058241758,0.007692308,1-Jan-04,Flooding,0.016483516
67,0.042023346,0.006225681,1-Jan-05,Flooding,0.010894942
68,0.092901879,0.014613779,1-Jan-06,Flooding,0.019832985
69,0.22759434,0.031839623,1-Jan-07,Flooding,0.047169811
70,0.081781377,0.016194332,1-Jan-08,Flooding,0.017004049
71,0.130503145,0.031446541,1-Jan-09,Flooding,0.017295597
72,0.032427695,0.014022787,1-Jan-10,Flooding,0.007011394
73,0.062886598,0.017525773,1-Jan-11,Flooding,0.009278351
74,0.154103853,0.035175879,1-Jan-12,Flooding,0.020100503
75,0.083427283,0.027057497,1-Jan-13,Flooding,0.012401353
76,0.216627635,0.05971897,1-Jan-14,Flooding,0.028103044
77,0.163461538,0.050961538,1-Jan-15,Flooding,0.022115385
78,0.019490255,0.00149925,1-Jan-90,Hurricane,0.011994003
79,0.019354839,0.001612903,1-Jan-91,Hurricane,0.009677419
80,0.013150685,0.001643836,1-Jan-92,Hurricane,0.007123288
81,0.012440191,0.002870813,1-Jan-93,Hurricane,0.004784689
82,0.008610086,0.002460025,1-Jan-94,Hurricane,0.002460025
83,0.012915129,0.002767528,1-Jan-95,Hurricane,0.006457565
84,0.024663677,0.005605381,1-Jan-96,Hurricane,0.007847534
85,0.056022409,0.004201681,1-Jan-97,Hurricane,0.021008403
86,0.040644172,0.003834356,1-Jan-98,Hurricane,0.012269939
87,0.039711191,0.003008424,1-Jan-99,Hurricane,0.013237064
88,0.061097257,0.012468828,1-Jan-00,Hurricane,0.014962594
89,0.036363636,0.006993007,1-Jan-01,Hurricane,0.006993007
90,0.031117397,0.005657709,1-Jan-02,Hurricane,0.00990099
91,0.015494636,0.00238379,1-Jan-03,Hurricane,0.005959476
92,0.047117517,0.007206208,1-Jan-04,Hurricane,0.013858093
93,0.043562874,0.004640719,1-Jan-05,Hurricane,0.012724551
94,0.076525822,0.010093897,1-Jan-06,Hurricane,0.022065728
95,0.1695213,0.02020202,1-Jan-07,Hurricane,0.04040404
96,0.073761855,0.016332982,1-Jan-08,Hurricane,0.026343519
97,0.104781282,0.024415056,1-Jan-09,Hurricane,0.029501526
98,0.086003373,0.017706577,1-Jan-10,Hurricane,0.011804384
99,0.078301887,0.024528302,1-Jan-11,Hurricane,0.011320755
100,0.183803458,0.047315742,1-Jan-12,Hurricane,0.029117379
101,0.150070126,0.056100982,1-Jan-13,Hurricane,0.014025245
102,0.219476744,0.063953488,1-Jan-14,Hurricane,0.034883721
103,0.307086614,0.07480315,1-Jan-15,Hurricane,0.027559055
104,0,0,1-Jan-90,Tornado,0
105,0.001724138,0,1-Jan-91,Tornado,0.001724138
106,0.003154574,0,1-Jan-92,Tornado,0.003154574
107,0,0,1-Jan-93,Tornado,0
108,0,0,1-Jan-94,Tornado,0
109,0,0,1-Jan-95,Tornado,0
110,0.006462036,0.001615509,1-Jan-96,Tornado,0.003231018
111,0.014684288,0.002936858,1-Jan-97,Tornado,0.004405286
112,0.007880911,0.004378284,1-Jan-98,Tornado,0.00262697
113,0.004261364,0,1-Jan-99,Tornado,0.004261364
114,0.01183432,0,1-Jan-00,Tornado,0.00591716
115,0.002314815,0,1-Jan-01,Tornado,0.002314815
116,0.005494505,0,1-Jan-02,Tornado,0.002747253
117,0.012195122,0.00203252,1-Jan-03,Tornado,0.006097561
118,0.066801619,0.004048583,1-Jan-04,Tornado,0.018218623
119,0.018018018,0.004504505,1-Jan-05,Tornado,0.006756757
120,0.04415011,0.002207506,1-Jan-06,Tornado,0.006622517
121,0.033628319,0.007079646,1-Jan-07,Tornado,0.014159292
122,0.020757021,0.004884005,1-Jan-08,Tornado,0.008547009
123,0.015584416,0.007792208,1-Jan-09,Tornado,0.005194805
124,0.019337017,0.005524862,1-Jan-10,Tornado,0.002762431
125,0.03486924,0.0124533,1-Jan-11,Tornado,0.0124533
126,0.055137845,0.007518797,1-Jan-12,Tornado,0.005012531
127,0.01934236,0.007736944,1-Jan-13,Tornado,0.003868472
128,0.043583535,0.016949153,1-Jan-14,Tornado,0.007263923
129,0.027906977,0.011627907,1-Jan-15,Tornado,0.006976744
