DATE,RELATED_EVENT,STATE,NUM_EVENTS,NUM_COUNTIES,PERCENT_COUNTIES,id
1-Jan-98,Drought,Alabama,2,67,0.029850746,1000
1-Jan-99,Drought,Alabama,6,67,0.089552239,1000
1-Jan-00,Drought,Alabama,6,67,0.089552239,1000
1-Jan-04,Drought,Alabama,2,67,0.029850746,1000
1-Jan-06,Drought,Alabama,112,67,1.671641791,1000
1-Jan-07,Drought,Alabama,464,67,6.925373134,1000
1-Jan-08,Drought,Alabama,364,67,5.432835821,1000
1-Jan-10,Drought,Alabama,108,67,1.611940299,1000
1-Jan-11,Drought,Alabama,295,67,4.402985075,1000
1-Jan-12,Drought,Alabama,239,67,3.567164179,1000
1-Jan-13,Drought,Alabama,43,67,0.641791045,1000
1-Jan-96,Drought,Alaska,2,29,0.068965517,2000
1-Jan-97,Drought,Alaska,1,29,0.034482759,2000
1-Jan-99,Drought,Arizona,1,15,0.066666667,4000
1-Jan-02,Drought,Arizona,5,15,0.333333333,4000
1-Jan-06,Drought,Arizona,1,15,0.066666667,4000
1-Jan-11,Drought,Arizona,121,15,8.066666667,4000
1-Jan-12,Drought,Arizona,18,15,1.2,4000
1-Jan-13,Drought,Arizona,28,15,1.866666667,4000
1-Jan-14,Drought,Arizona,62,15,4.133333333,4000
1-Jan-15,Drought,Arizona,12,15,0.8,4000
1-Jan-96,Drought,Arkansas,6,75,0.08,5000
1-Jan-00,Drought,Arkansas,45,75,0.6,5000
1-Jan-05,Drought,Arkansas,28,75,0.373333333,5000
1-Jan-06,Drought,Arkansas,37,75,0.493333333,5000
1-Jan-07,Drought,Arkansas,36,75,0.48,5000
1-Jan-10,Drought,Arkansas,167,75,2.226666667,5000
1-Jan-11,Drought,Arkansas,377,75,5.026666667,5000
1-Jan-12,Drought,Arkansas,452,75,6.026666667,5000
1-Jan-13,Drought,Arkansas,144,75,1.92,5000
1-Jan-15,Drought,Arkansas,28,75,0.373333333,5000
1-Jan-99,Drought,California,2,58,0.034482759,6000
1-Jan-00,Drought,California,8,58,0.137931034,6000
1-Jan-01,Drought,California,4,58,0.068965517,6000
1-Jan-02,Drought,California,1,58,0.017241379,6000
1-Jan-03,Drought,California,5,58,0.086206897,6000
1-Jan-04,Drought,California,8,58,0.137931034,6000
1-Jan-07,Drought,California,77,58,1.327586207,6000
1-Jan-08,Drought,California,77,58,1.327586207,6000
1-Jan-09,Drought,California,133,58,2.293103448,6000
1-Jan-14,Drought,California,134,58,2.310344828,6000
1-Jan-15,Drought,California,205,58,3.534482759,6000
1-Jan-00,Drought,Colorado,9,64,0.140625,8000
1-Jan-02,Drought,Colorado,225,64,3.515625,8000
1-Jan-03,Drought,Colorado,252,64,3.9375,8000
1-Jan-04,Drought,Colorado,252,64,3.9375,8000
1-Jan-05,Drought,Colorado,252,64,3.9375,8000
1-Jan-06,Drought,Colorado,202,64,3.15625,8000
1-Jan-07,Drought,Colorado,153,64,2.390625,8000
1-Jan-08,Drought,Colorado,5,64,0.078125,8000
1-Jan-09,Drought,Colorado,76,64,1.1875,8000
1-Jan-10,Drought,Colorado,114,64,1.78125,8000
1-Jan-11,Drought,Colorado,65,64,1.015625,8000
1-Jan-12,Drought,Colorado,263,64,4.109375,8000
1-Jan-13,Drought,Colorado,218,64,3.40625,8000
1-Jan-14,Drought,Colorado,24,64,0.375,8000
1-Jan-15,Drought,Colorado,49,64,0.765625,8000
1-Jan-99,Drought,Connecticut,2,8,0.25,9000
1-Jan-02,Drought,Connecticut,24,8,3,9000
1-Jan-12,Drought,Connecticut,3,8,0.375,9000
1-Jan-97,Drought,Delaware,5,3,1.666666667,10000
1-Jan-98,Drought,Delaware,28,3,9.333333333,10000
1-Jan-99,Drought,Delaware,26,3,8.666666667,10000
1-Jan-00,Drought,Delaware,4,3,1.333333333,10000
1-Jan-01,Drought,Delaware,20,3,6.666666667,10000
1-Jan-02,Drought,Delaware,44,3,14.66666667,10000
1-Jan-05,Drought,Delaware,4,3,1.333333333,10000
1-Jan-07,Drought,Delaware,22,3,7.333333333,10000
1-Jan-08,Drought,Delaware,32,3,10.66666667,10000
1-Jan-12,Drought,Delaware,22,3,7.333333333,10000
1-Jan-01,Drought,Florida,5,67,0.074626866,12000
1-Jan-06,Drought,Florida,4,67,0.059701493,12000
1-Jan-07,Drought,Florida,61,67,0.910447761,12000
1-Jan-08,Drought,Florida,31,67,0.462686567,12000
1-Jan-09,Drought,Florida,55,67,0.820895522,12000
1-Jan-10,Drought,Florida,36,67,0.537313433,12000
1-Jan-11,Drought,Florida,296,67,4.417910448,12000
1-Jan-12,Drought,Florida,150,67,2.23880597,12000
1-Jan-13,Drought,Florida,10,67,0.149253731,12000
1-Jan-96,Drought,Georgia,16,159,0.100628931,13000
1-Jan-97,Drought,Georgia,119,159,0.748427673,13000
1-Jan-98,Drought,Georgia,8,159,0.050314465,13000
1-Jan-99,Drought,Georgia,242,159,1.522012579,13000
1-Jan-00,Drought,Georgia,669,159,4.20754717,13000
1-Jan-01,Drought,Georgia,399,159,2.509433962,13000
1-Jan-02,Drought,Georgia,343,159,2.157232704,13000
1-Jan-03,Drought,Georgia,97,159,0.610062893,13000
1-Jan-04,Drought,Georgia,103,159,0.647798742,13000
1-Jan-06,Drought,Georgia,5,159,0.031446541,13000
1-Jan-07,Drought,Georgia,533,159,3.352201258,13000
1-Jan-08,Drought,Georgia,42,159,0.264150943,13000
1-Jan-10,Drought,Georgia,60,159,0.377358491,13000
1-Jan-11,Drought,Georgia,366,159,2.301886792,13000
1-Jan-12,Drought,Georgia,247,159,1.553459119,13000
1-Jan-13,Drought,Georgia,52,159,0.327044025,13000
1-Jan-14,Drought,Georgia,42,159,0.264150943,13000
1-Jan-98,Drought,Guam,14,,,66000
1-Jan-96,Drought,Hawaii,2,5,0.4,15000
1-Jan-98,Drought,Hawaii,46,5,9.2,15000
1-Jan-99,Drought,Hawaii,20,5,4,15000
1-Jan-00,Drought,Hawaii,41,5,8.2,15000
1-Jan-01,Drought,Hawaii,40,5,8,15000
1-Jan-07,Drought,Hawaii,17,5,3.4,15000
1-Jan-08,Drought,Hawaii,52,5,10.4,15000
1-Jan-09,Drought,Hawaii,91,5,18.2,15000
1-Jan-10,Drought,Hawaii,155,5,31,15000
1-Jan-11,Drought,Hawaii,62,5,12.4,15000
1-Jan-12,Drought,Hawaii,137,5,27.4,15000
1-Jan-13,Drought,Hawaii,106,5,21.2,15000
1-Jan-14,Drought,Hawaii,14,5,2.8,15000
1-Jan-15,Drought,Hawaii,11,5,2.2,15000
1-Jan-01,Drought,Idaho,9,44,0.204545455,16000
1-Jan-02,Drought,Idaho,9,44,0.204545455,16000
1-Jan-96,Drought,Illinois,7,102,0.068627451,17000
1-Jan-98,Drought,Illinois,19,102,0.18627451,17000
1-Jan-99,Drought,Illinois,95,102,0.931372549,17000
1-Jan-02,Drought,Illinois,38,102,0.37254902,17000
1-Jan-05,Drought,Illinois,294,102,2.882352941,17000
1-Jan-06,Drought,Illinois,69,102,0.676470588,17000
1-Jan-07,Drought,Illinois,49,102,0.480392157,17000
1-Jan-10,Drought,Illinois,68,102,0.666666667,17000
1-Jan-11,Drought,Illinois,8,102,0.078431373,17000
1-Jan-12,Drought,Illinois,348,102,3.411764706,17000
1-Jan-13,Drought,Illinois,54,102,0.529411765,17000
1-Jan-99,Drought,Indiana,30,92,0.326086957,18000
1-Jan-02,Drought,Indiana,12,92,0.130434783,18000
1-Jan-04,Drought,Indiana,6,92,0.065217391,18000
1-Jan-07,Drought,Indiana,12,92,0.130434783,18000
1-Jan-10,Drought,Indiana,81,92,0.880434783,18000
1-Jan-11,Drought,Indiana,25,92,0.27173913,18000
1-Jan-12,Drought,Indiana,198,92,2.152173913,18000
1-Jan-99,Drought,Iowa,46,99,0.464646465,19000
1-Jan-00,Drought,Iowa,97,99,0.97979798,19000
1-Jan-01,Drought,Iowa,51,99,0.515151515,19000
1-Jan-03,Drought,Iowa,72,99,0.727272727,19000
1-Jan-05,Drought,Iowa,116,99,1.171717172,19000
1-Jan-06,Drought,Iowa,51,99,0.515151515,19000
1-Jan-11,Drought,Iowa,16,99,0.161616162,19000
1-Jan-12,Drought,Iowa,418,99,4.222222222,19000
1-Jan-13,Drought,Iowa,160,99,1.616161616,19000
1-Jan-96,Drought,Kansas,27,105,0.257142857,20000
1-Jan-99,Drought,Kansas,23,105,0.219047619,20000
1-Jan-00,Drought,Kansas,52,105,0.495238095,20000
1-Jan-02,Drought,Kansas,115,105,1.095238095,20000
1-Jan-03,Drought,Kansas,48,105,0.457142857,20000
1-Jan-06,Drought,Kansas,12,105,0.114285714,20000
1-Jan-11,Drought,Kansas,172,105,1.638095238,20000
1-Jan-12,Drought,Kansas,510,105,4.857142857,20000
1-Jan-13,Drought,Kansas,395,105,3.761904762,20000
1-Jan-14,Drought,Kansas,232,105,2.20952381,20000
1-Jan-15,Drought,Kansas,24,105,0.228571429,20000
1-Jan-96,Drought,Kentucky,22,120,0.183333333,21000
1-Jan-98,Drought,Kentucky,22,120,0.183333333,21000
1-Jan-99,Drought,Kentucky,134,120,1.116666667,21000
1-Jan-02,Drought,Kentucky,48,120,0.4,21000
1-Jan-04,Drought,Kentucky,22,120,0.183333333,21000
1-Jan-05,Drought,Kentucky,12,120,0.1,21000
1-Jan-07,Drought,Kentucky,90,120,0.75,21000
1-Jan-08,Drought,Kentucky,40,120,0.333333333,21000
1-Jan-10,Drought,Kentucky,104,120,0.866666667,21000
1-Jan-11,Drought,Kentucky,22,120,0.183333333,21000
1-Jan-12,Drought,Kentucky,162,120,1.35,21000
1-Jan-13,Drought,Kentucky,8,120,0.066666667,21000
1-Jan-14,Drought,Kentucky,10,120,0.083333333,21000
1-Jan-15,Drought,Kentucky,18,120,0.15,21000
1-Jan-96,Drought,Louisiana,21,64,0.328125,22000
1-Jan-98,Drought,Louisiana,135,64,2.109375,22000
1-Jan-00,Drought,Louisiana,54,64,0.84375,22000
1-Jan-04,Drought,Louisiana,1,64,0.015625,22000
1-Jan-05,Drought,Louisiana,12,64,0.1875,22000
1-Jan-06,Drought,Louisiana,9,64,0.140625,22000
1-Jan-10,Drought,Louisiana,96,64,1.5,22000
1-Jan-11,Drought,Louisiana,204,64,3.1875,22000
1-Jan-12,Drought,Louisiana,25,64,0.390625,22000
1-Jan-13,Drought,Louisiana,30,64,0.46875,22000
1-Jan-15,Drought,Louisiana,58,64,0.90625,22000
1-Jan-99,Drought,Maine,81,16,5.0625,23000
1-Jan-01,Drought,Maine,85,16,5.3125,23000
1-Jan-97,Drought,Maryland,25,24,1.041666667,24000
1-Jan-98,Drought,Maryland,80,24,3.333333333,24000
1-Jan-99,Drought,Maryland,124,24,5.166666667,24000
1-Jan-00,Drought,Maryland,5,24,0.208333333,24000
1-Jan-01,Drought,Maryland,26,24,1.083333333,24000
1-Jan-02,Drought,Maryland,55,24,2.291666667,24000
1-Jan-05,Drought,Maryland,5,24,0.208333333,24000
1-Jan-07,Drought,Maryland,54,24,2.25,24000
1-Jan-08,Drought,Maryland,34,24,1.416666667,24000
1-Jan-10,Drought,Maryland,12,24,0.5,24000
1-Jan-12,Drought,Maryland,30,24,1.25,24000
1-Jan-99,Drought,Massachusetts,5,14,0.357142857,25000
1-Jan-12,Drought,Massachusetts,32,14,2.285714286,25000
1-Jan-01,Drought,Michigan,24,83,0.289156627,26000
1-Jan-02,Drought,Michigan,17,83,0.204819277,26000
1-Jan-07,Drought,Michigan,10,83,0.120481928,26000
1-Jan-10,Drought,Michigan,3,83,0.036144578,26000
